Statola,Ref,Geo,DGUID,ToProduct,ToStorage,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORD,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Origin,1970-01,Canada,nill,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722342,1.1.1,1041.0,nill,nill,nill,0
Origin,1970-01,Canada,nill,Onions,Cold and common storage,Tonnes,288,units ,0,v722350,1.2.1,26341.0,nill,nill,nill,0
Origin,1970-01,Canada,nill,Carrots,Cold and common storage,Tonnes,288,units ,0,v722358,1.3.1,29526.0,nill,nill,nill,0
Origin,1970-01,Canada,nill,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722366,1.4.1,1955.0,nill,nill,nill,0
Origin,1970-01,Maritime provinces,nill,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722343,2.1.1,725.0,nill,nill,nill,0
Origin,1970-01,Maritime provinces,nill,Onions,Cold and common storage,Tonnes,288,units ,0,v722351,2.2.1,147.0,nill,nill,nill,0
Origin,1970-01,Maritime provinces,nill,Carrots,Cold and common storage,Tonnes,288,units ,0,v722359,2.3.1,2949.0,nill,nill,nill,0
Origin,1970-01,Maritime provinces,nill,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722367,2.4.1,508.0,nill,nill,nill,0
Origin,1970-01,Quebec,nill,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722344,3.1.1,95.0,nill,nill,nill,0
Origin,1970-01,Quebec,nill,Onions,Cold and common storage,Tonnes,288,units ,0,v722352,3.2.1,2631.0,nill,nill,nill,0
Origin,1970-01,Quebec,nill,Carrots,Cold and common storage,Tonnes,288,units ,0,v722360,3.3.1,3271.0,nill,nill,nill,0
Origin,1970-01,Quebec,nill,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722368,3.4.1,618.0,nill,nill,nill,0
Origin,1970-01,Ontario,nill,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722345,4.1.1,106.0,nill,nill,nill,0
Origin,1970-01,Ontario,nill,Onions,Cold and common storage,Tonnes,288,units ,0,v722353,4.2.1,22260.0,nill,nill,nill,0
Origin,1970-01,Ontario,nill,Carrots,Cold and common storage,Tonnes,288,units ,0,v722361,4.3.1,21713.0,nill,nill,nill,0
Origin,1970-01,Ontario,nill,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722369,4.4.1,112.0,nill,nill,nill,0
Origin,1970-01,Manitoba,nill,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722346,5.1.1,0.0,nill,nill,nill,0
